"Path","Extension","SizeMB","Width","Height","MaxSide","PixelFormat","Recommendation"
"img\metec\pic06.jpg",".jpg","0.54","1400","933","1400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\onceuponatale\HanselAndGretel07_905.png",".png","0.54","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\pic05.png",".png","0.54","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\laser-parcours_21006845734_o.jpg",".jpg","0.54","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\machine\pic04.jpg",".jpg","0.53","1920","967","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\metec\pic01.jpg",".jpg","0.53","1400","1049","1400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spy-museum_21006853404_o.jpg",".jpg","0.53","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\spymuseum\spy-museum_21629727645_o.jpg",".jpg","0.53","3000","2000","3000","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\fireplace\pic01.jpg",".jpg","0.52","1920","1372","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\fireplace\pic02.jpg",".jpg","0.52","1920","1372","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\pic02.jpg",".jpg","0.52","1920","964","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\metec\pic02.jpg",".jpg","0.52","1920","1276","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\onceuponatale\HanselAndGretel08_905.png",".png","0.52","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\pic06.png",".png","0.52","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\pic04.jpg",".jpg","0.51","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\mons\pic07.jpg",".jpg","0.51","1680","1143","1680","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic07.png",".png","0.51","1400","927","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\machine\machine09.jpg",".jpg","0.5","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\skater\pic06.png",".png","0.5","1400","927","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\pic04.jpg",".jpg","0.5","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\doka\pic02.jpg",".jpg","0.49","1920","1241","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\machine10.jpg",".jpg","0.49","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\onceuponatale\HanselAndGretel04_905.png",".png","0.49","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\skater\pic08.png",".png","0.49","1400","927","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\vaudoise\pic02.png",".png","0.49","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\pic03.jpg",".jpg","0.48","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\ao\pic06.jpg",".jpg","0.48","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\ao\pic07.jpg",".jpg","0.48","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\ao\pic08.jpg",".jpg","0.48","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\lightscape\pic05.jpg",".jpg","0.48","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\machine01.jpg",".jpg","0.48","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\mons\pic02.jpg",".jpg","0.48","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\pic05.jpg",".jpg","0.48","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\pic08.jpg",".jpg","0.47","1920","968","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\onceuponatale\HanselAndGretel01_905.png",".png","0.47","841","612","841","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\pic01.png",".png","0.47","841","612","841","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\skater\pic09.png",".png","0.47","1400","927","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spymuseum\pic02.jpg",".jpg","0.47","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\pic07.jpg",".jpg","0.47","1920","1920","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\pic10.jpg",".jpg","0.47","1920","1272","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\vaudoise\pic07.png",".png","0.47","1920","1078","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\pic11.jpg",".jpg","0.46","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\lightscape\pic01.jpg",".jpg","0.46","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\machine05.jpg",".jpg","0.46","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\pic03.jpg",".jpg","0.46","1920","967","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\metec\pic05.jpg",".jpg","0.46","1920","1276","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160303_14_50_24.jpg",".jpg","0.46","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\vaudoise\pic06.png",".png","0.46","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\pic12.jpg",".jpg","0.45","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\doka\pic01.jpg",".jpg","0.44","1920","1217","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\pic05.jpg",".jpg","0.44","1920","968","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\pic01.jpg",".jpg","0.44","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\pic08.jpg",".jpg","0.44","1920","1276","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\machine\machine07.jpg",".jpg","0.43","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\onceuponatale\HanselAndGretel05_905.png",".png","0.43","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\pic03.png",".png","0.43","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\saltmine\pic07.jpg",".jpg","0.43","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\ao\pic09.jpg",".jpg","0.42","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine08.jpg",".jpg","0.42","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine03.jpg",".jpg","0.41","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine04.jpg",".jpg","0.41","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\vaudoise\pic01.png",".png","0.41","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\pic02.jpg",".jpg","0.4","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\ao\pic05.jpg",".jpg","0.4","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\ao\pic13.jpg",".jpg","0.4","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\machine\machine06.jpg",".jpg","0.4","2560","1310","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\onceuponatale\HanselAndGretel02_905.png",".png","0.4","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\pic02.png",".png","0.4","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\spinny\spinny.png",".png","0.4","960","542","960","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\doka\pic06.jpg",".jpg","0.39","1920","1281","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\lightscape\pic03.jpg",".jpg","0.39","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\aef\aef.jpg",".jpg","0.38","960","540","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\lightscape\pic06.jpg",".jpg","0.38","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\onceuponatale\pic07.png",".png","0.37","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\pic08.png",".png","0.37","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\PussBoots05_905.png",".png","0.37","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\PussBoots07_905.png",".png","0.37","841","612","841","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\lightscape\pic04.jpg",".jpg","0.36","1920","1280","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\vaudoise\pic08.png",".png","0.35","1920","1081","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\doka\pic07.jpg",".jpg","0.34","1920","1267","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\eames.png",".png","0.34","611","370","611","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\vaudoise\vaudoisEscape.png",".png","0.34","961","961","961","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\mons\Cafe_Europa-01.jpg",".jpg","0.33","1500","844","1500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_34_03.jpg",".jpg","0.33","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic10.png",".png","0.33","1400","927","1400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\pic10.jpg",".jpg","0.32","2560","1440","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\saltmine\JOH_20160322_13_32_00.jpg",".jpg","0.32","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_34_11.jpg",".jpg","0.32","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\pic02.jpg",".jpg","0.32","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\Eam_Eames_Space_02_New.jpg",".jpg","0.31","667","1000","1000","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_31_57.jpg",".jpg","0.31","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\pic04.jpg",".jpg","0.31","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\doka\doka.jpg",".jpg","0.3","960","481","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\doka\pic04.jpg",".jpg","0.3","1920","1138","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\pic01.jpg",".jpg","0.3","1313","739","1313","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_11_49_30.jpg",".jpg","0.3","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\42\42.png",".png","0.29","960","540","960","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\bmeia\bmeia.jpg",".jpg","0.29","960","540","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\doka\pic03.jpg",".jpg","0.29","1920","1281","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\fireplace\fireplace.jpg",".jpg","0.29","960","686","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\kf\pic01.png",".png","0.28","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\14152756660_127416bf63_o(1).jpg",".jpg","0.28","3200","2133","3200","Format24bppRgb","Resize to web max (about 2400px) and visually-lossless recompress; consider WebP/AVIF derivative"
"img\tabakfabrik\tabakfabrik.jpg",".jpg","0.28","960","640","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\doka\pic05.jpg",".jpg","0.27","1920","1268","1920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\pic06.jpg",".jpg","0.27","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\baudata\pic06.jpg",".jpg","0.26","2554","1340","2554","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\deathlap\deathlap.png",".png","0.26","960","540","960","Format8bppIndexed","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\onceuponatale\onceuponatale.jpg",".jpg","0.26","985","510","985","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_32_32.jpg",".jpg","0.26","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spinny\pic06.jpg",".jpg","0.26","1280","720","1280","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\kf\pic02.png",".png","0.24","1920","1080","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\saltmine\JOH_20160322_13_33_19.jpg",".jpg","0.24","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\picture08_t.png",".png","0.24","400","267","400","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\skater\picture09_t.png",".png","0.24","400","267","400","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\skater\skater.jpg",".jpg","0.24","950","540","950","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\baudata\pic02.jpg",".jpg","0.23","2554","1340","2554","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\saltmine\pic03.jpg",".jpg","0.23","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\vaudoise\pic03.png",".png","0.23","1920","1079","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\baudata\pic01.jpg",".jpg","0.22","2554","1340","2554","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\baudata\pic09.jpg",".jpg","0.22","2554","1340","2554","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\baudata\pic10.jpg",".jpg","0.22","2554","1340","2554","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\metec\metec.jpg",".jpg","0.22","914","640","914","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\10997021_692015894254437_271379059917464801_o.jpg",".jpg","0.22","1443","960","1443","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\onceuponatale\ipad-copy_905.jpg",".jpg","0.22","804","416","804","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_57_18.jpg",".jpg","0.22","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\picture06_t.png",".png","0.22","400","267","400","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\skater\picture07_t.png",".png","0.22","400","267","400","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\mons\10986889_692016900921003_784477360724116813_o.jpg",".jpg","0.21","1444","960","1444","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\11103252_699617106827649_3739121677682064599_o.jpg",".jpg","0.21","1443","960","1443","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\bienenstock.jpg",".jpg","0.21","1279","905","1279","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\baudata\pic05.jpg",".jpg","0.2","2560","1398","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\mons\mons.jpg",".jpg","0.2","974","436","974","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\screenshot_mons_web-16x9.jpg",".jpg","0.2","1370","771","1370","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\saltmine.jpg",".jpg","0.2","974","563","974","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\ao\ao.png",".png","0.19","960","542","960","Format8bppIndexed","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\baudata\pic03.jpg",".jpg","0.19","2560","1340","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\mons\11041224_721822731273753_7218712084995556674_o.jpg",".jpg","0.19","1443","960","1443","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\vaudoise\pic05.png",".png","0.19","1920","1081","1920","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\lightscape\lightscape.jpg",".jpg","0.18","825","556","825","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\10397107_691055874350439_6479681457228131873_o.jpg",".jpg","0.18","1444","960","1444","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\baudata\pic04.jpg",".jpg","0.17","2554","1340","2554","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\baudata\pic08.jpg",".jpg","0.17","2560","1396","2560","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\saltmine\JOH_20160322_13_32_48.jpg",".jpg","0.17","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_58_22.jpg",".jpg","0.17","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\pic05.jpg",".jpg","0.17","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\11080808_699616963494330_1560175507492417611_o.jpg",".jpg","0.16","1443","960","1443","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_32_49.jpg",".jpg","0.16","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\baudata\pic07.jpg",".jpg","0.15","2090","1264","2090","Format24bppRgb","Visually-lossless JPEG recompress; optionally resize if displayed smaller"
"img\saltmine\pic08.jpg",".jpg","0.15","1181","782","1181","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\baudata\baudata.png",".png","0.14","2560","1398","2560","Format32bppArgb","Convert to JPEG/WebP unless PNG is required; otherwise lossless optimize"
"img\mons\pic03.jpg",".jpg","0.13","1120","840","1120","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\11046303_694828743973152_5309194539921800757_o.jpg",".jpg","0.12","1443","960","1443","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\saltmine\JOH_20160322_13_59_29.jpg",".jpg","0.12","1772","1174","1772","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\20150210_HIM05475_him.jpg",".jpg","0.11","1280","960","1280","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\onceuponatale\14608425452_3a0b75cb0a_o.jpg",".jpg","0.1","1200","800","1200","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\onceuponatale\MG_4213-1024x682.jpg",".jpg","0.1","1024","682","1024","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\kf\kf.png",".png","0.09","960","540","960","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\mons\beehive-mons-2015-d146fb-h900.jpg",".jpg","0.09","1280","720","1280","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic03.jpg",".jpg","0.09","400","267","400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\picture10_t.png",".png","0.09","400","267","400","Format24bppRgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\mons\10314697_693766900746003_7528383509624339002_n.jpg",".jpg","0.08","960","640","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic01.jpg",".jpg","0.08","400","267","400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic02.jpg",".jpg","0.08","400","267","400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic04.jpg",".jpg","0.08","400","267","400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\pic04.jpg",".jpg","0.07","736","490","736","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\11066727_711558625633497_8658650463839851206_n.jpg",".jpg","0.07","960","720","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\1477963_711558605633499_324673484092487093_n.jpg",".jpg","0.07","960","720","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\16645069489_b745929bf3.jpg",".jpg","0.07","500","333","500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\pic05.jpg",".jpg","0.07","400","267","400","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\re-think_the_eames_head-geneve_salone_del_mobile_milan2013chead-geneve_sandrapointetbaptistecoulon_02.jpg",".jpg","0.06","920","613","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\16644810100_0177fd52f9.jpg",".jpg","0.06","500","333","500","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\201503271814341354.jpg",".jpg","0.06","600","436","600","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\baudata\baudata.jpg",".jpg","0.05","960","524","960","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\milan2013_-_2.jpeg",".jpeg","0.05","920","614","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\milan2013-5.jpeg",".jpeg","0.05","920","614","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\milan2013-6.jpeg",".jpeg","0.05","920","614","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\pic07.jpg",".jpg","0.05","800","533","800","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\re-think_the_eames_head-geneve_salone_del_mobile_milan2013chead-geneve_sandrapointetbaptistecoulon_01.jpg",".jpg","0.05","920","613","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\Re-Think-The-Eames.jpg",".jpg","0.05","520","333","520","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\11059727_691004431022250_7606381025648082005_n.jpg",".jpg","0.05","700","408","700","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\mons\bienenstock_ok-image.jpg",".jpg","0.05","825","500","825","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\spymuseum\spymuseum.jpg",".jpg","0.05","640","640","640","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\bmeia\bmeia_old.jpg",".jpg","0.04","460","240","460","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\milan_2013-3.jpeg",".jpeg","0.04","920","614","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\milan2013-7.jpeg",".jpeg","0.04","920","614","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\eames\pic03.jpeg",".jpeg","0.04","920","614","920","Format24bppRgb","Light JPEG recompress only; keep if already appropriate for display size"
"img\skater\picture.png",".png","0.04","400","265","400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\award-ao-casualconnect-2018-v3@2x.png",".png","0.01","400","267","400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\award-ao-halo-award-2018-v3@2x.png",".png","0.01","400","267","400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\award-ao-imga-2019-v3@2x.png",".png","0.01","400","267","400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\award-ao-indigo-award-2019-v3@2x.png",".png","0.01","400","267","400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\ao\award-ao-ludicious-2019-v3@2x.png",".png","0.01","400","267","400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\deathlap\award-dl-halo-2019@2x.png",".png","0.01","400","267","400","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\email.png",".png","0.01","256","256","256","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\github.png",".png","0.01","256","256","256","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\controls\pause.png",".png","0","132","108","132","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\controls\play.png",".png","0","132","108","132","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\controls\stop.png",".png","0","132","108","132","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
"img\linkedin.png",".png","0","256","256","256","Format32bppArgb","Lossless PNG optimize; consider JPEG/WebP if photographic"
